Building,Schedules,Usage Level,Orientation,Eaves,Door Area,Overhangs,Interior Shading,Doors,Hot Water Fixtures,Solar Hot Water,HVAC Secondary Heating Type And Fuel,HVAC Secondary Heating Efficiency,HVAC System Is Faulted,Setpoint Demand Response,Dehumidifier,Lighting Interior Use,Lighting Other Use,Holiday Lighting,Plug Load Diversity,Electric Vehicle,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Well Pump,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,ASHRAE IECC Climate Zone 2004,County,AHS Region,State,Location Region,Census Division,Census Division RECS,Census Region,ISO RTO Region,Building America Climate Zone,PUMA,Geometry Building Type ACS,Vintage,Vintage ACS,Geometry Building Type RECS,Heating Fuel,Geometry Building Number Units SFA,Geometry Building Horizontal Location SFA,Geometry Foundation Type,Geometry Wall Type,Geometry Wall Exterior Finish,Geometry Wall Type And Exterior Finish,Geometry Floor Area,Geometry Floor Area Bin,Geometry Stories,Geometry Building Type Height,Geometry Building Level MF,Geometry Building Number Units MF,Geometry Building Horizontal Location MF,Geometry Stories Low Rise,Geometry Attic Type,Geometry Garage,Bedrooms,Corridor,Vacancy Status,Occupants,Window Areas,Neighbors,Insulation Ceiling,Insulation Roof,Radiant Barrier,Roof Material,Insulation Slab,Insulation Floor,Insulation Foundation Wall,Insulation Wall,Windows,Water Heater In Unit,Water Heater Fuel,Water Heater Efficiency,Hot Water Distribution,HVAC Heating Type,HVAC Cooling Type,HVAC Has Shared System,HVAC Shared Efficiencies,HVAC Heating Efficiency,HVAC Has Zonal Electric Heating,HVAC Heating Type And Fuel,HVAC Cooling Efficiency,HVAC System Single Speed AC Airflow,HVAC System Single Speed ASHP Airflow,HVAC System Single Speed AC Charge,HVAC System Single Speed ASHP Charge,Heating Setpoint,Cooling Setpoint,Heating Setpoint Has Offset,Cooling Setpoint Has Offset,Heating Setpoint Offset Magnitude,Cooling Setpoint Offset Magnitude,Heating Setpoint Offset Period,Cooling Setpoint Offset Period,Ceiling Fan,Refrigerator,Cooking Range,Dishwasher,Clothes Washer Presence,Clothes Washer,Clothes Dryer,Lighting,Plug Loads,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,HVAC Has Ducts,Ducts,Infiltration,Has PV,PV System Size,PV Orientation,CEC Climate Zone,REEDS Balancing Area
954,Stochastic,High,Southwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,200% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,None,"Year-Round, 3 days/wk",None,Hour1,Hour20,5A,"MI, Wayne County","CBSA Detroit-Warren-Dearborn, MI",MI,CR04,East North Central,East North Central,Midwest,MISO,Cold,"MI, 03202",Single-Family Detached,1970s,1960-79,Single-Family Detached,Natural Gas,None,None,Heated Basement,Wood Frame,"Brick, Medium/Dark","Wood Frame, Brick, Medium/Dark",1000-1499,0-1499,1,Single-Family Detached,None,None,None,1,Vented Attic,None,3,Not Applicable,Occupied,1,F12 B12 L12 R12,Left/Right at 15ft,R-7,"Unfinished, Uninsulated",No,Composition Shingles,None,Uninsulated,Uninsulated,"Wood Stud, R-7","Single, Clear, Non-metal",Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,None,None,"Fuel Furnace, 92.5% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 13",None,None,None,None,68F,68F,No,No,0F,0F,None,None,None,"EF 19.9, 100% Usage","Gas, 120% Usage",None,None,None,None,100% CFL,85%,None,"EF 12, National Average",None,None,None,None,Yes,"0% Leakage, Uninsulated",10 ACH50,No,None,None,None,103
955,Stochastic,High,Northwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,200% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,None,"Year-Round, 3 days/wk",None,Hour20,Hour17,5A,"MI, Wayne County","CBSA Detroit-Warren-Dearborn, MI",MI,CR04,East North Central,East North Central,Midwest,MISO,Cold,"MI, 03209",Single-Family Detached,1950s,1940-59,Single-Family Detached,Natural Gas,None,None,Heated Basement,Brick,None,"Brick, None",2000-2499,1500-2499,2,Single-Family Detached,None,None,None,2,Vented Attic,1 Car,3,Not Applicable,Occupied,1,F9 B9 L9 R9,Left/Right at 15ft,R-7,"Unfinished, Uninsulated",No,"Asphalt Shingles, Medium",None,Uninsulated,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated","Double, Low-E, Non-metal, Air, M-Gain",Yes,Natural Gas,Natural Gas Tankless,"Uninsulated, TrunkBranch, Copper",Ducted Heating,None,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,68F,70F,Yes,Yes,3F,2F,Day and Night +4h,Day Setup,None,"EF 17.6, 100% Usage","Gas, 120% Usage","318 Rated kWh, 120% Usage",Yes,"Standard, 120% Usage","Electric, 120% Usage",100% Incandescent,85%,EF 15.9,"EF 12, National Average",Gas,None,None,None,Yes,"0% Leakage, Uninsulated",15 ACH50,No,None,None,None,103
956,Stochastic,Medium,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour7,Hour18,5A,"MI, Wayne County","CBSA Detroit-Warren-Dearborn, MI",MI,CR04,East North Central,East North Central,Midwest,MISO,Cold,"MI, 03210",Single-Family Detached,<1940,<1940,Single-Family Detached,Natural Gas,None,None,Unheated Basement,Wood Frame,"Brick, Medium/Dark","Wood Frame, Brick, Medium/Dark",3000-3999,2500-3999,2,Single-Family Detached,None,None,None,2,Vented Attic,1 Car,5,Not Applicable,Occupied,4,F15 B15 L15 R15,Left/Right at 15ft,R-19,"Unfinished, Uninsulated",No,Composition Shingles,None,Uninsulated,Uninsulated,"Wood Stud, Uninsulated","Double, Clear, Metal, Air",Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,None,None,"Fuel Boiler, 80% AFUE",No,Natural Gas Fuel Boiler,"Room AC, EER 10.7",None,None,None,None,65F,75F,Yes,Yes,6F,2F,Day and Night -1h,Day Setup +2h,Standard Efficiency,"EF 19.9, 100% Usage","Gas, 100% Usage","290 Rated kWh, 100% Usage",Yes,"Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,85%,None,"EF 12, National Average",Electric,None,None,None,No,None,15 ACH50,No,None,None,None,103
957,Stochastic,Low,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,50% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour17,Hour8,5A,"MI, Wayne County","CBSA Detroit-Warren-Dearborn, MI",MI,CR04,East North Central,East North Central,Midwest,MISO,Cold,"MI, 03207",Single-Family Detached,1950s,1940-59,Single-Family Detached,Natural Gas,None,None,Slab,Brick,None,"Brick, None",3000-3999,2500-3999,2,Single-Family Detached,None,None,None,2,Vented Attic,1 Car,5,Not Applicable,Occupied,4,F9 B9 L9 R9,Left/Right at 15ft,R-7,"Unfinished, Uninsulated",No,Composition Shingles,Uninsulated,None,None,"Brick, 12-in, 3-wythe, Uninsulated","Single, Clear, Non-metal",Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 13",None,None,None,None,68F,70F,No,Yes,0F,5F,None,Night Setup +5h,None,"EF 15.9, 100% Usage","Electric, 80% Usage",None,Yes,"EnergyStar, 80% Usage","Gas, 80% Usage",100% LED,85%,EF 17.6,"EF 12, National Average",Electric,None,None,None,Yes,"20% Leakage, R-4",15 ACH50,No,None,None,None,103
958,Stochastic,Medium,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Year-Round, 3 days/wk",None,Hour20,Hour15,5A,"MI, Wayne County","CBSA Detroit-Warren-Dearborn, MI",MI,CR04,East North Central,East North Central,Midwest,MISO,Cold,"MI, 03206",Single-Family Detached,1950s,1940-59,Single-Family Detached,Natural Gas,None,None,Heated Basement,Brick,None,"Brick, None",1000-1499,0-1499,1,Single-Family Detached,None,None,None,1,Vented Attic,None,4,Not Applicable,Occupied,2,F15 B15 L15 R15,Left/Right at 15ft,R-30,"Unfinished, Uninsulated",No,Composition Shingles,None,Uninsulated,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated","Double, Low-E, Non-metal, Air, M-Gain",Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,None,None,"Fuel Furnace, 92.5% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 13",None,None,None,None,65F,72F,No,No,0F,0F,None,None,Standard Efficiency,"EF 17.6, 100% Usage","Electric, 100% Usage","290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% CFL,85%,None,None,None,None,None,None,Yes,"0% Leakage, Uninsulated",20 ACH50,No,None,None,None,103
959,Stochastic,Medium,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Year-Round, 3 days/wk",None,Hour6,Hour14,5A,"MI, Wayne County","CBSA Detroit-Warren-Dearborn, MI",MI,CR04,East North Central,East North Central,Midwest,MISO,Cold,"MI, 03202",Single-Family Detached,1960s,1960-79,Single-Family Detached,Natural Gas,None,None,Heated Basement,Wood Frame,"Brick, Medium/Dark","Wood Frame, Brick, Medium/Dark",1500-1999,1500-2499,1,Single-Family Detached,None,None,None,1,Vented Attic,2 Car,3,Not Applicable,Occupied,1,F9 B9 L9 R9,Left/Right at 15ft,R-19,"Unfinished, Uninsulated",No,"Asphalt Shingles, Medium",None,Uninsulated,Uninsulated,"Wood Stud, Uninsulated","Double, Clear, Non-metal, Air, Exterior Clear Storm",Yes,Natural Gas,Natural Gas Premium,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 10",None,None,None,None,70F,72F,Yes,No,6F,0F,Day and Night -3h,None,Standard Efficiency,"EF 17.6, 100% Usage","Electric, 100% Usage",None,Yes,"Standard, 100% Usage","Gas, 100% Usage",100% LED,85%,None,None,None,None,None,None,Yes,"0% Leakage, Uninsulated",10 ACH50,No,None,None,None,103
960,Stochastic,Medium,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour2,Hour7,5A,"MI, Wayne County","CBSA Detroit-Warren-Dearborn, MI",MI,CR04,East North Central,East North Central,Midwest,MISO,Cold,"MI, 03209",Single-Family Detached,1960s,1960-79,Single-Family Detached,Natural Gas,None,None,Heated Basement,Wood Frame,"Brick, Medium/Dark","Wood Frame, Brick, Medium/Dark",1500-1999,1500-2499,2,Single-Family Detached,None,None,None,2,Vented Attic,2 Car,4,Not Applicable,Occupied,1,F15 B15 L15 R15,Left/Right at 15ft,R-38,"Unfinished, Uninsulated",No,Composition Shingles,None,Uninsulated,Uninsulated,"Wood Stud, Uninsulated","Single, Clear, Non-metal",Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,None,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,72F,75F,No,No,0F,0F,None,None,Standard Efficiency,"EF 10.5, 100% Usage","Gas, 100% Usage","290 Rated kWh, 100% Usage",Yes,"Standard, 100% Usage","Gas, 100% Usage",100% Incandescent,85%,None,None,None,None,None,None,Yes,"0% Leakage, Uninsulated",40 ACH50,No,None,None,None,103
961,Stochastic,Medium,Southwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Year-Round, 3 days/wk",None,Hour2,Hour4,5A,"MI, Wayne County","CBSA Detroit-Warren-Dearborn, MI",MI,CR04,East North Central,East North Central,Midwest,MISO,Cold,"MI, 03204",Single-Family Detached,1960s,1960-79,Single-Family Detached,Natural Gas,None,None,Vented Crawlspace,Wood Frame,"Brick, Medium/Dark","Wood Frame, Brick, Medium/Dark",750-999,0-1499,1,Single-Family Detached,None,None,None,1,Vented Attic,1 Car,2,Not Applicable,Occupied,1,F6 B6 L6 R6,Left/Right at 15ft,R-38,"Unfinished, Uninsulated",No,Wood Shingles,None,Uninsulated,Uninsulated,"Wood Stud, Uninsulated","Triple, Low-E, Non-metal, Air, L-Gain",Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 10",None,None,None,None,68F,78F,Yes,Yes,6F,2F,Night +3h,Night Setup -3h,None,None,"Gas, 100% Usage",None,Yes,"Standard, 100% Usage","Gas, 100% Usage",100% CFL,85%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",10 ACH50,No,None,None,None,103
962,Stochastic,Medium,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour19,Hour9,5A,"MI, Wayne County","CBSA Detroit-Warren-Dearborn, MI",MI,CR04,East North Central,East North Central,Midwest,MISO,Cold,"MI, 03202",Single-Family Detached,1940s,1940-59,Single-Family Detached,Natural Gas,None,None,Slab,Brick,None,"Brick, None",1000-1499,0-1499,1,Single-Family Detached,None,None,None,1,Vented Attic,None,3,Not Applicable,Occupied,1,F9 B9 L9 R9,Left/Right at 15ft,R-30,"Unfinished, Uninsulated",No,Composition Shingles,Uninsulated,None,None,"Brick, 12-in, 3-wythe, Uninsulated","Single, Clear, Non-metal",Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 10",None,None,None,None,70F,75F,No,Yes,0F,2F,None,Night Setback +2h,None,"EF 19.9, 100% Usage","Electric, 100% Usage","318 Rated kWh, 100% Usage",Yes,"Standard, 100% Usage","Gas, 100% Usage",100% CFL,85%,None,None,None,None,None,None,Yes,"20% Leakage, R-4",25 ACH50,No,None,None,None,103
963,Stochastic,Medium,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Year-Round, 3 days/wk",None,Hour19,Hour7,5A,"MI, Wayne County","CBSA Detroit-Warren-Dearborn, MI",MI,CR04,East North Central,East North Central,Midwest,MISO,Cold,"MI, 03201",Single-Family Detached,1990s,1980-99,Single-Family Detached,Natural Gas,None,None,Unheated Basement,Wood Frame,"Brick, Medium/Dark","Wood Frame, Brick, Medium/Dark",2500-2999,2500-3999,2,Single-Family Detached,None,None,None,2,Vented Attic,2 Car,5,Not Applicable,Occupied,3,F18 B18 L18 R18,Left/Right at 15ft,R-30,"Unfinished, Uninsulated",No,Composition Shingles,None,Ceiling R-13,Uninsulated,"Wood Stud, R-11","Double, Low-E, Non-metal, Air, M-Gain",Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,None,None,None,"Fuel Boiler, 80% AFUE",No,Natural Gas Fuel Boiler,None,None,None,None,None,70F,72F,No,No,0F,0F,None,None,None,"EF 17.6, 100% Usage","Gas, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Gas, 100% Usage",100% Incandescent,85%,None,None,None,None,None,None,No,None,4 ACH50,No,None,None,None,103
964,Stochastic,Medium,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour12,Hour16,5A,"MI, Wayne County","CBSA Detroit-Warren-Dearborn, MI",MI,CR04,East North Central,East North Central,Midwest,MISO,Cold,"MI, 03213",Single-Family Detached,1950s,1940-59,Single-Family Detached,Natural Gas,None,None,Heated Basement,Brick,None,"Brick, None",750-999,0-1499,1,Single-Family Detached,None,None,None,1,Vented Attic,None,3,Not Applicable,Occupied,1,F12 B12 L12 R12,Left/Right at 15ft,R-7,"Unfinished, Uninsulated",No,Composition Shingles,None,Uninsulated,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated","Single, Clear, Non-metal",Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,None,None,"Fuel Wall/Floor Furnace, 68% AFUE",No,Natural Gas Fuel Wall/Floor Furnace,"Room AC, EER 12.0",None,None,None,None,70F,75F,Yes,Yes,12F,5F,Day and Night,Day Setup and Night Setback -3h,Standard Efficiency,"EF 17.6, 100% Usage","Electric, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% LED,85%,None,"EF 12, National Average",None,None,None,None,No,None,20 ACH50,No,None,None,None,103
965,Stochastic,Medium,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Year-Round, 3 days/wk",None,Hour19,Hour17,5A,"MI, Wayne County","CBSA Detroit-Warren-Dearborn, MI",MI,CR04,East North Central,East North Central,Midwest,MISO,Cold,"MI, 03203",Single-Family Detached,1960s,1960-79,Single-Family Detached,Natural Gas,None,None,Heated Basement,Wood Frame,"Brick, Medium/Dark","Wood Frame, Brick, Medium/Dark",1500-1999,1500-2499,1,Single-Family Detached,None,None,None,1,Vented Attic,1 Car,3,Not Applicable,Occupied,1,F9 B9 L9 R9,Left/Right at 15ft,R-19,"Unfinished, Uninsulated",No,"Asphalt Shingles, Medium",None,Uninsulated,Uninsulated,"Wood Stud, Uninsulated","Single, Clear, Metal, Exterior Clear Storm",Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 13",None,None,None,None,70F,70F,Yes,Yes,3F,5F,Day and Night -1h,Night Setup -2h,None,"EF 17.6, 100% Usage","Electric, 100% Usage","290 Rated kWh, 100% Usage",Yes,"Standard, 100% Usage","Gas, 100% Usage",100% CFL,85%,EF 17.6,"EF 12, National Average",None,None,None,None,Yes,"0% Leakage, Uninsulated",7 ACH50,No,None,None,None,103
966,Stochastic,Medium,Southeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Year-Round, 3 days/wk",None,Hour2,Hour18,5A,"MI, Wayne County","CBSA Detroit-Warren-Dearborn, MI",MI,CR04,East North Central,East North Central,Midwest,MISO,Cold,"MI, 03203",Single-Family Detached,1940s,1940-59,Single-Family Detached,Natural Gas,None,None,Slab,Wood Frame,"Wood, Medium/Dark","Wood Frame, Wood, Medium/Dark",750-999,0-1499,1,Single-Family Detached,None,None,None,1,Vented Attic,None,3,Not Applicable,Occupied,4,F12 B12 L12 R12,Left/Right at 15ft,Uninsulated,"Unfinished, Uninsulated",No,Composition Shingles,Uninsulated,None,None,"Wood Stud, Uninsulated","Double, Clear, Metal, Air",Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,None,None,"Fuel Boiler, 80% AFUE",No,Natural Gas Fuel Boiler,"Room AC, EER 12.0",None,None,None,None,72F,70F,No,Yes,0F,2F,None,Day Setup -2h,Standard Efficiency,"EF 17.6, 100% Usage","Gas, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Gas, 100% Usage",100% Incandescent,85%,None,"EF 12, National Average",None,None,None,None,No,None,40 ACH50,No,None,None,None,103
967,Stochastic,Low,Southeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,50% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,None,"Year-Round, 3 days/wk",None,Hour0,Hour13,5A,"MI, Wayne County","CBSA Detroit-Warren-Dearborn, MI",MI,CR04,East North Central,East North Central,Midwest,MISO,Cold,"MI, 03207",Single-Family Detached,1960s,1960-79,Single-Family Detached,Natural Gas,None,None,Slab,Wood Frame,"Brick, Medium/Dark","Wood Frame, Brick, Medium/Dark",1000-1499,0-1499,1,Single-Family Detached,None,None,None,1,Vented Attic,1 Car,2,Not Applicable,Occupied,3,F12 B12 L12 R12,Left/Right at 15ft,R-38,"Unfinished, Uninsulated",No,Composition Shingles,Uninsulated,None,None,"Wood Stud, Uninsulated","Double, Clear, Non-metal, Air",Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,None,None,None,"Fuel Boiler, 80% AFUE",No,Natural Gas Fuel Boiler,None,None,None,None,None,70F,68F,No,No,0F,0F,None,None,Standard Efficiency,"EF 15.9, 100% Usage","Electric, 80% Usage",None,Yes,"Standard, 80% Usage","Electric, 80% Usage",100% CFL,85%,None,None,None,None,None,None,No,None,25 ACH50,No,None,None,None,103
968,Stochastic,Medium,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour3,Hour22,5A,"MI, Wayne County","CBSA Detroit-Warren-Dearborn, MI",MI,CR04,East North Central,East North Central,Midwest,MISO,Cold,"MI, 03204",Single-Family Detached,1950s,1940-59,Single-Family Detached,Natural Gas,None,None,Heated Basement,Brick,None,"Brick, None",2000-2499,1500-2499,2,Single-Family Detached,None,None,None,2,Vented Attic,None,3,Not Applicable,Occupied,2,F9 B9 L9 R9,Left/Right at 15ft,R-19,"Unfinished, Uninsulated",No,"Asphalt Shingles, Medium",None,Uninsulated,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated","Single, Clear, Non-metal",Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 15",None,None,None,None,76F,76F,No,Yes,0F,2F,None,Night Setup +5h,None,"EF 17.6, 100% Usage","Electric, 100% Usage","318 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Gas, 100% Usage",100% Incandescent,85%,None,"EF 12, National Average",None,None,None,None,Yes,"0% Leakage, Uninsulated",20 ACH50,No,None,None,None,103
969,Stochastic,Medium,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Year-Round, 3 days/wk",None,Hour1,Hour17,5A,"MI, Wayne County","CBSA Detroit-Warren-Dearborn, MI",MI,CR04,East North Central,East North Central,Midwest,MISO,Cold,"MI, 03201",Single-Family Detached,1960s,1960-79,Single-Family Detached,Natural Gas,None,None,Slab,Wood Frame,"Brick, Medium/Dark","Wood Frame, Brick, Medium/Dark",2500-2999,2500-3999,1,Single-Family Detached,None,None,None,1,Vented Attic,1 Car,3,Not Applicable,Occupied,3,F9 B9 L9 R9,Left/Right at 15ft,R-30,"Unfinished, Uninsulated",No,Composition Shingles,Uninsulated,None,None,"Wood Stud, Uninsulated","Double, Clear, Non-metal, Air",Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 8",None,None,None,None,68F,72F,Yes,No,3F,0F,Day and Night -4h,None,Standard Efficiency,"EF 15.9, 100% Usage","Gas, 100% Usage","318 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Gas, 100% Usage",100% Incandescent,85%,EF 15.9,"EF 12, National Average",None,None,None,None,Yes,"20% Leakage, R-4",15 ACH50,No,None,None,None,103
970,Stochastic,High,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,200% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,None,"Year-Round, 3 days/wk",None,Hour20,Hour15,5A,"MI, Wayne County","CBSA Detroit-Warren-Dearborn, MI",MI,CR04,East North Central,East North Central,Midwest,MISO,Cold,"MI, 03202",Single-Family Detached,1950s,1940-59,Single-Family Detached,Electricity,None,None,Heated Basement,Brick,None,"Brick, None",500-749,0-1499,1,Single-Family Detached,None,None,None,1,Vented Attic,None,2,Not Applicable,Occupied,2,F9 B9 L9 R9,Left/Right at 15ft,R-19,"Unfinished, Uninsulated",No,"Asphalt Shingles, Medium",None,Uninsulated,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated","Single, Clear, Non-metal",Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Central AC,None,None,"Electric Baseboard, 100% Efficiency",Yes,Electricity Baseboard,"AC, SEER 13",None,None,None,None,65F,80F,No,No,0F,0F,None,None,Standard Efficiency,"EF 17.6, 100% Usage","Electric, 120% Usage","290 Rated kWh, 120% Usage",Yes,"EnergyStar, 120% Usage","Gas, 120% Usage",100% LED,85%,None,None,None,None,None,None,Yes,"0% Leakage, Uninsulated",25 ACH50,No,None,None,None,103
971,Stochastic,Medium,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,None,None,None,No,None,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Year-Round, 3 days/wk",None,Hour10,Hour18,5A,"MI, Wayne County","CBSA Detroit-Warren-Dearborn, MI",MI,CR04,East North Central,East North Central,Midwest,MISO,Cold,"MI, 03208",Single-Family Detached,1950s,1940-59,Single-Family Detached,Natural Gas,None,None,Heated Basement,Brick,None,"Brick, None",750-999,0-1499,1,Single-Family Detached,None,None,None,1,Vented Attic,None,1,Not Applicable,Occupied,1,F6 B6 L6 R6,Left/Right at 15ft,R-7,"Unfinished, Uninsulated",No,Slate,None,Uninsulated,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated","Double, Low-E, Non-metal, Air, M-Gain",Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,None,None,"Fuel Wall/Floor Furnace, 68% AFUE",No,Natural Gas Fuel Wall/Floor Furnace,"Room AC, EER 10.7",None,None,None,None,68F,70F,Yes,No,3F,0F,Day and Night -5h,None,Standard Efficiency,"EF 19.9, 100% Usage","Gas, 100% Usage",None,Yes,"Standard, 100% Usage","Gas, 100% Usage",100% LED,85%,None,None,None,None,None,None,No,None,25 ACH50,No,None,None,None,103
